,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
16,4.2730817794799805,0.07961130474798664,0.06294918060302734,0.002294982740086205,1,4,400,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",-443.114625,-293.0358412698413,-148.38381547619048,-153.3303452380952,-84.79591522366522,-224.53210844155836,128.73658008218183,69,-80.8490190122369,-42.82554541633281,-43.4509017011748,-22.03583130930653,-13.296961385685934,-40.49165176494739,23.337051246498053,65
17,5.246850776672363,0.025646546212376487,0.07963614463806153,0.0013356622763050592,1,4,500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-442.5641428571429,-292.974153968254,-148.82040000000003,-149.22087142857137,-86.39529884559884,-223.9949734199134,128.61311164732447,65,-80.87590572515555,-42.92447714905216,-43.43340116284402,-21.654675902255914,-13.319363450090128,-40.441564677879555,23.403473524791373,62
18,0.4752347469329834,0.004702738582522341,0.008741331100463868,0.00018207884371245853,2,2,50,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
19,0.9578364372253418,0.008776542261322611,0.017097091674804686,0.0007450312663029031,2,2,100,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
20,1.9096201419830323,0.023580031292900348,0.03183422088623047,0.0004743547098204118,2,2,200,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
21,2.8801305294036865,0.04120249287519897,0.04742422103881836,0.0015179632895929108,2,2,300,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
22,3.841023254394531,0.048331637529229414,0.06355428695678711,0.0035683068084860583,2,2,400,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
23,4.816614294052124,0.053691687629496374,0.07813239097595215,0.0025573239712612583,2,2,500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-443.7774412698413,-292.4002444444444,-125.90789047619052,-137.4168976190476,-89.0765238095238,-217.71579952380952,132.74509501229568,46,-80.85406808514954,-42.5307237730907,-41.868235735698285,-18.70895986624847,-13.051474101450278,-39.40269231232746,23.902708224797124,31
24,0.4911810874938965,0.013037244518971798,0.008870458602905274,0.00013283716167952875,2,3,50,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
25,0.95780930519104,0.014514924832618398,0.01649446487426758,0.0001022013881257283,2,3,100,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
