,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
12,1.3319743633270265,0.021711666115676646,0.04060811996459961,0.0003621457953650527,30,300,"{'min_samples_leaf': 30, 'n_estimators': 300}",-439.0833081279078,-294.87580343007915,-102.53078965933777,-136.92071445414962,-103.8911187759084,-215.4603468894765,132.42605102601686,16,-79.71761744482045,-42.061227620665,-36.80842655761919,-17.236993221204028,-13.701162420914859,-37.905085453044705,23.578651092302955,15
13,1.7842947959899902,0.021629616689573115,0.05514063835144043,0.002182700914377079,30,400,"{'min_samples_leaf': 30, 'n_estimators': 400}",-438.84745138564057,-294.74345543939035,-99.91784694297328,-137.08247474664688,-103.7489234880294,-214.8680304005361,132.78437996715203,15,-79.6893960188094,-41.90307398714279,-36.49638234882245,-17.20164492674158,-13.708004568956067,-37.799700370094456,23.571052624223878,9
14,2.226224899291992,0.04159074447411245,0.06703767776489258,0.0011783540634637518,30,500,"{'min_samples_leaf': 30, 'n_estimators': 500}",-438.9022049581586,-294.01790956918234,-99.38054724986414,-137.08563110206347,-103.90661607176756,-214.6585817902072,132.78229646565777,13,-79.68046531251748,-41.76520677010823,-36.42992374979349,-17.18699801851681,-13.67542105737863,-37.74760298166293,23.57308117774942,5
15,3.1269344806671144,0.06062184368020979,0.09673514366149902,0.004799762058071024,30,700,"{'min_samples_leaf': 30, 'n_estimators': 700}",-438.8744880178693,-293.97353796923716,-99.92183110881844,-137.18257267491458,-103.8187707270103,-214.75424009956996,132.67713200736117,14,-79.6411638051595,-41.850188960344305,-36.47704715861287,-17.24863451910818,-13.656241549940885,-37.77465519863314,23.55467557337366,8
16,1.1725544929504395,0.029311898894314556,0.040393400192260745,0.00110823793372647,50,300,"{'min_samples_leaf': 50, 'n_estimators': 300}",-439.29706107889365,-294.17807731898586,-76.4273089430271,-136.98932503016326,-103.29273564954586,-210.03690160412316,137.27472224179328,4,-79.49316583402461,-41.72201126746647,-37.41092202672962,-17.19811184304489,-13.501058343767282,-37.86505386300657,23.531718307569992,14
17,1.5826711654663086,0.019512192062146133,0.05489020347595215,0.0027521862135650174,50,400,"{'min_samples_leaf': 50, 'n_estimators': 400}",-439.3315006666529,-294.1069086083616,-75.93901585446181,-137.03230764060226,-103.11373791789875,-209.90469413759547,137.39590130556797,3,-79.50546690173486,-41.69949070801315,-37.18821713631518,-17.16150600104971,-13.498509900382919,-37.81063812949917,23.543302934394653,10
18,1.9726836681365967,0.037975093030470065,0.06649975776672364,0.0008376688679045159,50,500,"{'min_samples_leaf': 50, 'n_estimators': 500}",-439.3140036466474,-293.7963839184542,-75.36916227767239,-137.33529383158898,-102.9841540024711,-209.7597995353668,137.4514248946671,1,-79.49566039490502,-41.64331814773394,-37.015849350589704,-17.17010280099431,-13.489323226682762,-37.76285078418115,23.539366370784034,7
19,2.771532440185547,0.057418591089229816,0.09679527282714843,0.002238741892959738,50,700,"{'min_samples_leaf': 50, 'n_estimators': 700}",-439.5028143064722,-294.03126119014854,-75.10509857258232,-137.34566567169674,-102.92592058020432,-209.78215206422084,137.60283612962397,2,-79.49664680536559,-41.704752834695,-36.95678078924468,-17.181687849912166,-13.47120605017857,-37.76221486587921,23.543858394657295,6
20,1.0981344699859619,0.01771244374089379,0.04016709327697754,0.0011942718142939964,70,300,"{'min_samples_leaf': 70, 'n_estimators': 300}",-440.33374868826184,-296.40082250618156,-83.17539550750541,-135.97369920787557,-103.19320907554354,-211.81537499707355,136.72916593313687,10,-79.21558133318409,-41.686771797422466,-38.30728753179,-17.060910325803764,-13.429174698909614,-37.93994513742199,23.47153065300137,16
21,1.4520882606506347,0.028915689423660237,0.05287723541259766,0.001034774443379475,70,400,"{'min_samples_leaf': 70, 'n_estimators': 400}",-440.2204429993888,-296.3850671763716,-82.98699404925529,-135.83036681470085,-103.10715112460346,-211.70600443286398,136.75437781545452,7,-79.19915786969763,-41.655483617724975,-37.95693833429434,-17.05978125407875,-13.416947385751453,-37.857661692309435,23.466797650943086,13
22,1.8191372394561767,0.038157590493056226,0.06729927062988281,0.0021442530354640436,70,500,"{'min_samples_leaf': 70, 'n_estimators': 500}",-440.1259476053859,-296.1025083320478,-83.00273232237896,-136.12664145057053,-102.93905424380259,-211.65937679083714,136.67878493229495,6,-79.19855517201947,-41.60164832150119,-37.87565944158898,-17.093982962182867,-13.400790484337072,-37.83412727632592,23.462111447381954,12
23,2.5538728713989256,0.06758088927891225,0.09516124725341797,0.0026112750850528052,70,700,"{'min_samples_leaf': 70, 'n_estimators': 700}",-440.1731384753818,-296.1998200644883,-82.68466683457274,-135.54981960737712,-102.86246596229789,-211.49398218882357,136.84253531709533,5,-79.21080517002504,-41.62079286559098,-37.82376889081361,-17.087128981704666,-13.403358915400355,-37.82917096470693,23.467716868997282,11
24,0.9836484909057617,0.03248434952445254,0.04015340805053711,0.0017263737858167329,100,300,"{'min_samples_leaf': 100, 'n_estimators': 300}",-440.14567026762734,-293.4395560762004,-85.11342147818507,-136.31050879706837,-104.28487853024328,-211.85880702986486,135.7309093458489,12,-78.77074389346078,-40.97712380322433,-38.064357681238015,-17.096626587532263,-13.406423931414599,-37.66305517937399,23.29097812664232,4
25,1.3249436855316161,0.040422851908141835,0.05494799613952637,0.0014804477034174011,100,400,"{'min_samples_leaf': 100, 'n_estimators': 400}",-439.9280851379578,-293.55388346708446,-84.66227415245632,-136.6367448490299,-104.33772547727304,-211.8237426167603,135.71129251191638,11,-78.73771897225286,-40.969950759362774,-37.77576565813978,-17.115617170351864,-13.391393693259834,-37.598089250673425,23.278169708543118,3
26,1.65541672706604,0.04233730354959449,0.06570205688476563,0.0023128575044228015,100,500,"{'min_samples_leaf': 100, 'n_estimators': 500}",-439.9326472859884,-293.4065442058595,-84.36518438341804,-136.70877891994576,-104.2648631539823,-211.73560358983883,135.7543674814667,9,-78.7341909337868,-40.919206107716455,-37.637760912617736,-17.147921929618597,-13.375995711021751,-37.563015118952265,23.27283077165962,1
27,1.9030889987945556,0.13912514517208105,0.04851846694946289,0.001211312497328854,100,700,"{'min_samples_leaf': 100, 'n_estimators': 700}",-439.78144779867506,-293.6729872505432,-84.38013453776193,-136.49670705782765,-104.28668581044518,-211.72359249105062,135.7528770682536,8,-78.75282694485915,-40.9500900475598,-37.638619809130226,-17.143728997651493,-13.362992694809185,-37.56965169880197,23.283757006576113,2
